,Sensor #1 X,Sensor #1 Y,Sensor #1 Z,"Sensor #1 Euler Angles (Z Y'X"") Z","Sensor #1 Euler Angles (Z Y'X"") Y'","Sensor #1 Euler Angles (Z Y'X"") X""",Sensor #2 X,Sensor #2 Y,Sensor #2 Z,"Sensor #2 Euler Angles (Z Y'X"") Z","Sensor #2 Euler Angles (Z Y'X"") Y'","Sensor #2 Euler Angles (Z Y'X"") X""",Sensor #3 X,Sensor #3 Y,Sensor #3 Z,"Sensor #3 Euler Angles (Z Y'X"") Z","Sensor #3 Euler Angles (Z Y'X"") Y'","Sensor #3 Euler Angles (Z Y'X"") X""",Sensor #4 X,Sensor #4 Y,Sensor #4 Z,"Sensor #4 Euler Angles (Z Y'X"") Z","Sensor #4 Euler Angles (Z Y'X"") Y'","Sensor #4 Euler Angles (Z Y'X"") X""",Sensor #5 X,Sensor #5 Y,Sensor #5 Z,"Sensor #5 Euler Angles (Z Y'X"") Z","Sensor #5 Euler Angles (Z Y'X"") Y'","Sensor #5 Euler Angles (Z Y'X"") X""",Sensor #6 X,Sensor #6 Y,Sensor #6 Z,"Sensor #6 Euler Angles (Z Y'X"") Z","Sensor #6 Euler Angles (Z Y'X"") Y'","Sensor #6 Euler Angles (Z Y'X"") X"""
count,377812.0,377812.0,377812.0,377812.0,377812.0,377812.0,377812.0,377812.0,377812.0,377812.0,377812.0,377812.0,377812.0,377812.0,377812.0,377812.0,377812.0,377812.0,377812.0,377812.0,377812.0,377812.0,377812.0,377812.0,377812.0,377812.0,377812.0,377812.0,377812.0,377812.0,377812.0,377812.0,377812.0,377812.0,377812.0,377812.0
mean,1.0874720760589924e-05,7.573128963611532e-06,-1.2113453251881886e-05,-0.010157021608630747,-0.00018675378495124585,-0.0068197708039977635,1.1543640752543593e-05,8.735275745608928e-06,-1.2401114840185068e-05,-0.04055886351148189,-0.0013872975474574659,0.00099201205626079,1.3888455104655223e-05,9.488843657692187e-06,-1.4138852127513156e-05,-0.0074709069193143705,0.0010078541496829111,0.005231853686489576,1.1291862090140071e-05,2.982726858860993e-07,-1.1742430097508815e-05,0.056765025658263905,-0.002380141551882947,-0.019531775001852773,1.2893907551904122e-05,-1.4200660646035598e-06,-1.3867058219431884e-05,0.032658877145246845,-0.0024769390225826606,0.004269093202439314,1.3707844112945065e-05,-3.432619927371286e-06,-1.629767979841826e-05,0.009408329875705378,0.0006325866647962479,-0.021144679594613202
std,0.003939306505766511,0.00548658705952565,0.0052640748843270566,9.207183247567054,1.7964103234589575,19.124107696592848,0.0031962309770900733,0.003683547720822901,0.0038015091414083427,13.842800406585841,1.242676898334673,16.81628258422962,0.0032039566529817386,0.002648742903555481,0.0024399109020294763,6.84451036771408,0.5913453814386936,10.206130816303364,0.0030870775358949774,0.006185914833836146,0.004184447199774761,14.934906668141956,1.6805397356797904,11.661690479957981,0.0031322076502278006,0.0053595570914329455,0.0035632322123079914,14.022047529378412,1.6120660930730506,9.665410555376253,0.003111580571979898,0.004265490172011136,0.002959630747137584,11.368789898415399,0.5328292699790378,19.34375597167019
min,-0.196202,-0.38303800000000005,-0.572583,-179.98028499999998,-87.395184,-179.998462,-0.11701900000000001,-0.267804,-0.42566099999999996,-179.984048,-46.299248,-179.99591900000001,-0.07957000000000009,-0.12336299999999994,-0.316306,-179.98976399999998,-52.058269,-179.941589,-0.132747,-0.5898249999999999,-0.479645,-179.999567,-85.209165,-179.88114900000002,-0.09595900000000002,-0.569245,-0.389418,-179.987115,-66.511444,-179.98891500000002,-0.078347,-0.5755589999999999,-0.419221,-179.95128000000003,-43.996177,-179.99678600000001
25%,-0.0005479999999999929,-0.0006780000000000119,-0.0006659999999999999,-0.3492767500000049,-0.2626874999999993,-0.3971872500000053,-0.00039000000000000146,-0.0005099999999999827,-0.00048499999999998544,-0.28830825000000715,-0.18196875000000112,-0.2796932500000002,-0.00034200000000000896,-0.0004349999999999979,-0.0003509999999999902,-0.10798549999999096,-0.09198499999999976,-0.14028250000000142,-0.0004590000000000427,-0.0005249999999999977,-0.0004559999999999842,-0.5322962499999875,-0.3002520000000004,-0.5695730000000012,-0.0005519999999999969,-0.0005779999999999952,-0.0005360000000000087,-0.44062475000000134,-0.3339102500000042,-0.6414834999999997,-0.0005000000000000004,-0.0005320000000000047,-0.00043299999999998895,-0.14076250000000456,-0.10651250000000267,-0.2724282500000026
50%,-4.999999999977245e-06,3.0000000000030003e-06,0.0,0.0037740000000034968,-0.0017054999999945863,-0.0026375000000058435,-2.000000000002e-06,0.0,0.0,-0.004576999999997611,-0.0008845000000032854,0.0006249999999994316,-3.000000000030756e-06,0.0,9.000000000009e-06,-0.00014249999998838803,-0.00022149999999943049,4.5999999997548e-05,0.0,1.1999999999999858e-05,2.5999999999998247e-05,-0.007744500000001153,-0.004192499999994936,0.00954900000000336,-1.0999999999983245e-05,1.1999999999998123e-05,2.1999999999994246e-05,-0.004983500000008689,-0.008420999999998457,-0.009048999999993868,-1.999999999996449e-05,1.3999999999986246e-05,1.1999999999984245e-05,-0.0059719999999856554,-0.0018325000000007918,-0.004519999999999413
75%,0.0005489999999999939,0.0007179999999999964,0.0005559999999999871,0.36184725000000384,0.24962649999999975,0.393735999999997,0.0004170000000000007,0.0005059999999999787,0.0004190000000000027,0.23523375000000257,0.1834780000000027,0.32581400000000826,0.00037199999999998346,0.00042199999999997795,0.00034500000000001196,0.10735025000001741,0.09177775000000032,0.15622949999999136,0.0004979999999999984,0.0005699999999999976,0.0005710000000000159,0.4591550000000044,0.309630999999996,0.6364945000000013,0.0005380000000000384,0.0006080000000000013,0.0006110000000000004,0.43277649999999745,0.28669874999999934,0.5648857499999984,0.00044800000000000395,0.0005420000000000147,0.0004590000000000427,0.12415024999999602,0.0985352500000003,0.2709445000000015
max,0.339886,0.489084,0.655197,179.995284,49.462842,179.955747,0.36701,0.373707,0.502381,179.992314,31.13552,179.977508,0.44637299999999996,0.38911100000000004,0.23043400000000003,179.81469900000002,15.317609999999995,179.943501,0.343012,0.633708,0.42848200000000003,179.999777,36.257365,179.98057999999997,0.45586099999999996,0.71934,0.34545100000000006,179.96488999999997,64.785026,179.925637,0.49437,0.7030939999999999,0.39290200000000003,179.960731,48.715159,179.996154
