,Sensor #1 X,Sensor #1 Y,Sensor #1 Z,"Sensor #1 Euler Angles (Z Y'X"") Z","Sensor #1 Euler Angles (Z Y'X"") Y'","Sensor #1 Euler Angles (Z Y'X"") X""",Sensor #2 X,Sensor #2 Y,Sensor #2 Z,"Sensor #2 Euler Angles (Z Y'X"") Z","Sensor #2 Euler Angles (Z Y'X"") Y'","Sensor #2 Euler Angles (Z Y'X"") X""",Sensor #3 X,Sensor #3 Y,Sensor #3 Z,"Sensor #3 Euler Angles (Z Y'X"") Z","Sensor #3 Euler Angles (Z Y'X"") Y'","Sensor #3 Euler Angles (Z Y'X"") X""",Sensor #4 X,Sensor #4 Y,Sensor #4 Z,"Sensor #4 Euler Angles (Z Y'X"") Z","Sensor #4 Euler Angles (Z Y'X"") Y'","Sensor #4 Euler Angles (Z Y'X"") X""",Sensor #5 X,Sensor #5 Y,Sensor #5 Z,"Sensor #5 Euler Angles (Z Y'X"") Z","Sensor #5 Euler Angles (Z Y'X"") Y'","Sensor #5 Euler Angles (Z Y'X"") X""",Sensor #6 X,Sensor #6 Y,Sensor #6 Z,"Sensor #6 Euler Angles (Z Y'X"") Z","Sensor #6 Euler Angles (Z Y'X"") Y'","Sensor #6 Euler Angles (Z Y'X"") X"""
count,396170.0,396170.0,396170.0,396170.0,396170.0,396170.0,396170.0,396170.0,396170.0,396170.0,396170.0,396170.0,396170.0,396170.0,396170.0,396170.0,396170.0,396170.0,396170.0,396170.0,396170.0,396170.0,396170.0,396170.0,396170.0,396170.0,396170.0,396170.0,396170.0,396170.0,396170.0,396170.0,396170.0,396170.0,396170.0,396170.0
mean,9.519923265264913e-06,3.8081833556301596e-06,-1.1395411060908196e-05,-0.02930045209127395,-0.0002453378524370852,0.0044546406719337675,1.0467216094101016e-05,4.943233965216952e-06,-1.152083953858192e-05,-0.04032832719287173,-0.0010543402276800365,0.005631628384279489,1.2502496403059291e-05,6.500946563344016e-06,-1.2873236236968977e-05,-0.003521497915036473,0.0008300194714390286,0.025726602549410595,1.0685415351995357e-05,-2.4310296085014024e-06,-1.3114877451599059e-05,0.05493095998435014,-0.00193432891183078,-0.03742966112275034,1.2764684352676882e-05,-2.7553903627230742e-06,-1.3797056819042325e-05,0.013057820359946487,-0.0020950374435217208,0.007370691137642927,1.4159613297321857e-05,-4.490569704924654e-06,-1.5414763863997783e-05,0.014523389055203565,0.00039790172905570815,-0.0006807910467728453
std,0.0037134241262332243,0.005139419899576867,0.005192194114016626,9.65306954079414,1.8149592282966516,19.46056132592319,0.003058171520300151,0.00348873250178814,0.003887920149942188,13.737795523345648,1.2361153209305018,19.537092949852944,0.0030931905357111725,0.0024899453488421456,0.0025649612119453056,6.375536168087046,0.6291853360673523,12.299051021954599,0.003151573347669352,0.006010325091650175,0.004096932730352129,15.01371517169654,1.6390337174054794,10.713454720737246,0.003242640387929132,0.005214786366698853,0.0036666708729285137,14.1259485498787,1.5985328058046515,9.402065699600893,0.0032046945831011426,0.004244186079946013,0.003155027721190338,11.097840928062496,0.5219605083766136,18.513735021648163
min,-0.3184350000000001,-0.262409,-0.572583,-179.813378,-87.395184,-179.998462,-0.30684999999999996,-0.267804,-0.42566099999999996,-179.984048,-42.757529999999996,-179.99591900000001,-0.2376450000000001,-0.09185700000000002,-0.316306,-179.98976399999998,-52.058269,-179.986844,-0.307839,-0.5898249999999999,-0.47343599999999997,-179.999567,-85.209165,-179.88114900000002,-0.293613,-0.569245,-0.48299200000000003,-179.987115,-66.511444,-179.98891500000002,-0.26569200000000015,-0.5755589999999999,-0.419221,-179.99732899999998,-43.996177,-179.999223
25%,-0.0005440000000000167,-0.0006790000000000129,-0.0006819999999999882,-0.35284499999999497,-0.27995800000000237,-0.40637775000000076,-0.0003810000000000202,-0.0005040000000000044,-0.0005020000000000024,-0.28546599999999955,-0.19301675000000085,-0.27853849999998914,-0.0003300000000000525,-0.0004240000000000077,-0.0003559999999999952,-0.10838749999999209,-0.09534275000000081,-0.14521449999999803,-0.0004629999999999912,-0.0005340000000000067,-0.0004760000000000042,-0.5208105000000001,-0.3030872499999999,-0.5953774999999943,-0.0005859999999999754,-0.0006180000000000005,-0.0005730000000000457,-0.46153825000000026,-0.3400264999999987,-0.6385857500000025,-0.0005109999999999837,-0.0005400000000000127,-0.00043599999999999195,-0.14637500000000614,-0.10993200000000058,-0.2750542500000108
50%,-2.000000000002e-06,7.999999999980245e-06,-1.000000000001e-06,0.002098499999998893,-0.0015090000000004267,-0.0014490000000009218,0.0,3.0000000000030003e-06,0.0,-0.005537999999987164,-7.849999999987034e-05,-0.00033699999999470265,0.0,2.9999999999752447e-06,8.999999999981245e-06,-0.001110999999994533,0.0004379999999992723,-0.0007269999999905963,0.0,1.5000000000001124e-05,3.400000000000625e-05,-0.00414950000001113,-0.004764500000000282,0.006137999999999533,-1.1000000000038757e-05,1.4000000000000123e-05,2.9000000000001247e-05,-0.00656300000000698,-0.006908500000001538,-0.008182499999993098,-2.0999999999993246e-05,1.5000000000001124e-05,1.8000000000018e-05,-0.00549350000000004,-0.001530000000002918,-0.003999000000000308
75%,0.0005690000000000139,0.0007340000000000124,0.0005799999999999972,0.3615117500000089,0.26016149999999993,0.40906675000002224,0.0004230000000000067,0.0005269999999999719,0.0004300000000000137,0.23018099999998753,0.19200174999999953,0.3302662500000011,0.0003769999999999607,0.00043399999999998995,0.0003459999999999852,0.10497275000000172,0.09751949999999954,0.16457900000000336,0.0005000000000000004,0.0005860000000000032,0.0006039999999999934,0.47688575000000455,0.30713274999999385,0.6232774999999933,0.0005739999999999634,0.0006619999999999959,0.0006609999999999949,0.4385607499999864,0.30401349999999283,0.5739910000000137,0.0004489999999999772,0.0005510000000000098,0.0004750000000000032,0.12837749999999915,0.10374100000000008,0.2729810000000015
max,0.339886,0.36332,0.586911,179.995284,39.693121,179.955747,0.37348400000000004,0.301935,0.502381,179.992314,31.13552,179.97620900000004,0.451172,0.291331,0.26699199999999995,179.81469900000002,13.476526999999999,179.95794400000003,0.411659,0.633708,0.463774,179.999777,36.257365,179.98057999999997,0.484547,0.71934,0.501422,179.96488999999997,64.785026,179.92042,0.545716,0.7030939999999999,0.531037,179.960731,48.715159,179.992748
