,Sensor #1 X,Sensor #1 Y,Sensor #1 Z,"Sensor #1 Euler Angles (Z Y'X"") Z","Sensor #1 Euler Angles (Z Y'X"") Y'","Sensor #1 Euler Angles (Z Y'X"") X""",Sensor #2 X,Sensor #2 Y,Sensor #2 Z,"Sensor #2 Euler Angles (Z Y'X"") Z","Sensor #2 Euler Angles (Z Y'X"") Y'","Sensor #2 Euler Angles (Z Y'X"") X""",Sensor #3 X,Sensor #3 Y,Sensor #3 Z,"Sensor #3 Euler Angles (Z Y'X"") Z","Sensor #3 Euler Angles (Z Y'X"") Y'","Sensor #3 Euler Angles (Z Y'X"") X""",Sensor #4 X,Sensor #4 Y,Sensor #4 Z,"Sensor #4 Euler Angles (Z Y'X"") Z","Sensor #4 Euler Angles (Z Y'X"") Y'","Sensor #4 Euler Angles (Z Y'X"") X""",Sensor #5 X,Sensor #5 Y,Sensor #5 Z,"Sensor #5 Euler Angles (Z Y'X"") Z","Sensor #5 Euler Angles (Z Y'X"") Y'","Sensor #5 Euler Angles (Z Y'X"") X""",Sensor #6 X,Sensor #6 Y,Sensor #6 Z,"Sensor #6 Euler Angles (Z Y'X"") Z","Sensor #6 Euler Angles (Z Y'X"") Y'","Sensor #6 Euler Angles (Z Y'X"") X"""
count,405953.0,405953.0,405953.0,405953.0,405953.0,405953.0,405953.0,405953.0,405953.0,405953.0,405953.0,405953.0,405953.0,405953.0,405953.0,405953.0,405953.0,405953.0,405953.0,405953.0,405953.0,405953.0,405953.0,405953.0,405953.0,405953.0,405953.0,405953.0,405953.0,405953.0,405953.0,405953.0,405953.0,405953.0,405953.0,405953.0
mean,8.132862671294464e-06,6.384625806435722e-06,-1.025336430572012e-05,-0.0215171477363143,-0.0005304568287461847,0.009880274265740114,8.644793855446319e-06,7.0790879732382805e-06,-1.0716462250556099e-05,-0.03049194332102485,-0.0011781561387648326,0.006262217101487112,1.087577133313462e-05,7.646685700068726e-06,-1.1934748603902423e-05,-0.00621110826376452,0.0009945388924333608,0.000752960401819914,9.571396196111374e-06,1.4339344702465574e-06,-1.0500614603168344e-05,0.0109485141752863,-0.002197038383753784,0.04178981668813876,1.0589839217840485e-05,-8.38148751210116e-07,-1.2155520466655008e-05,0.020221329245011122,-0.0020151852603626534,0.007128845878710096,1.1574975428189964e-05,-2.315102979901615e-06,-1.4159299229221116e-05,0.008906199998521994,0.00041263295997319893,-0.011585196498116781
std,0.003806950498812979,0.005436506668181386,0.005370606833929295,9.174443488974553,1.6547954380564363,18.961905078195727,0.0030178278679922326,0.0036064977185191163,0.003692332330460314,13.108125630507447,1.120205728913413,17.645412779878324,0.0030119643362271752,0.0026661181884974627,0.002351354418999257,6.601142810280366,0.5533563961752924,8.906443474314843,0.0030031803566875955,0.006067123196402435,0.004318486259818116,15.146824292819476,1.5594564499654666,9.887883906254114,0.0028929808755079585,0.005063464838747326,0.0036495264819603724,13.498508958613133,1.451858724595447,5.796498264394933,0.002913967736725362,0.004086473646903136,0.0030999609723077405,10.849037600160804,0.5292354673069621,19.784816906061046
min,-0.196202,-0.38303800000000005,-0.572583,-179.98028499999998,-71.710219,-179.998462,-0.11701900000000001,-0.267804,-0.42566099999999996,-179.984048,-46.299248,-179.99860999999999,-0.07957000000000009,-0.12336299999999994,-0.275341,-179.98976399999998,-52.058269,-179.83763,-0.132747,-0.494373,-0.479645,-179.999567,-84.81090999999999,-179.85644000000002,-0.11569499999999994,-0.417655,-0.48299200000000003,-179.987115,-46.686626000000004,-179.98891500000002,-0.078347,-0.556841,-0.390507,-179.99732899999998,-43.996177,-179.99678600000001
25%,-0.0005600000000000049,-0.0007019999999999804,-0.0006800000000000139,-0.341842999999983,-0.25420299999999685,-0.36607399999999757,-0.0003650000000000597,-0.0004919999999999924,-0.0004750000000000032,-0.2566309999999987,-0.1707889999999992,-0.2403630000000163,-0.00032599999999993745,-0.0004180000000000017,-0.0003469999999999862,-0.10309200000000374,-0.0873149999999967,-0.12881400000000554,-0.0004249999999999532,-0.0004849999999999924,-0.00042199999999997795,-0.49409199999999487,-0.27949999999999875,-0.5096989999999977,-0.0005030000000000312,-0.0005319999999999995,-0.0004910000000000192,-0.42051099999999053,-0.3046599999999984,-0.5940180000000055,-0.00046400000000001995,-0.0004920000000000133,-0.0003969999999999807,-0.13111800000001494,-0.1041839999999965,-0.2590080000000228
50%,-2.000000000002e-06,7.000000000007001e-06,-9.999999999871223e-07,0.0022699999999815645,-0.0014719999999996958,-0.0035069999999990387,0.0,2.000000000002e-06,1.000000000001e-06,-0.003837000000004309,-0.0005090000000009809,0.0,0.0,2.000000000002e-06,9.999999999982245e-06,-0.0002089999999839165,-4.299999999801685e-05,-0.0007359999999891897,0.0,1.2000000000012001e-05,2.6999999999999247e-05,-0.009703000000001794,-0.004985000000004902,0.01011200000000656,-7.99999999995249e-06,1.2000000000012001e-05,2.4999999999997247e-05,-0.00681799999999555,-0.006985999999997716,-0.007963999999999971,-1.7000000000044757e-05,1.2999999999999123e-05,1.4000000000014001e-05,-0.005793000000025472,-0.003287000000000262,-0.003938000000005104
75%,0.0005860000000000032,0.0007409999999999986,0.0005720000000000031,0.34860999999999365,0.23457900000000187,0.36535200000000145,0.0004149999999999987,0.0004910000000000192,0.0003999999999999976,0.2129810000000134,0.1676779999999951,0.2828269999999975,0.00037199999999998346,0.00041399999999996995,0.00033600000000000296,0.10406599999998889,0.08796899999999974,0.1444619999999759,0.00045799999999995844,0.0005330000000000057,0.0005499999999999949,0.411767999999995,0.2775429999999943,0.5881140000000045,0.0005040000000000044,0.0005759999999999967,0.0005830000000000002,0.3981780000000015,0.266227999999991,0.5286049999999989,0.00042200000000003346,0.0005079999999999807,0.0004320000000000157,0.11488000000002785,0.09282699999999977,0.2570119999999747
max,0.366006,0.489084,0.655197,179.994927,49.462842,179.955747,0.392906,0.373707,0.502381,179.992314,31.13552,179.977508,0.45530200000000004,0.38911100000000004,0.26699199999999995,179.852756,15.317609999999995,179.84690000000003,0.411659,0.623576,0.463774,179.999777,44.429143,179.874207,0.484547,0.470447,0.501422,179.984192,64.785026,179.925637,0.545716,0.564615,0.531037,179.9518,48.715159,179.996154
