,Sensor #1 X,Sensor #1 Y,Sensor #1 Z,"Sensor #1 Euler Angles (Z Y'X"") Z","Sensor #1 Euler Angles (Z Y'X"") Y'","Sensor #1 Euler Angles (Z Y'X"") X""",Sensor #2 X,Sensor #2 Y,Sensor #2 Z,"Sensor #2 Euler Angles (Z Y'X"") Z","Sensor #2 Euler Angles (Z Y'X"") Y'","Sensor #2 Euler Angles (Z Y'X"") X""",Sensor #3 X,Sensor #3 Y,Sensor #3 Z,"Sensor #3 Euler Angles (Z Y'X"") Z","Sensor #3 Euler Angles (Z Y'X"") Y'","Sensor #3 Euler Angles (Z Y'X"") X""",Sensor #4 X,Sensor #4 Y,Sensor #4 Z,"Sensor #4 Euler Angles (Z Y'X"") Z","Sensor #4 Euler Angles (Z Y'X"") Y'","Sensor #4 Euler Angles (Z Y'X"") X""",Sensor #5 X,Sensor #5 Y,Sensor #5 Z,"Sensor #5 Euler Angles (Z Y'X"") Z","Sensor #5 Euler Angles (Z Y'X"") Y'","Sensor #5 Euler Angles (Z Y'X"") X""",Sensor #6 X,Sensor #6 Y,Sensor #6 Z,"Sensor #6 Euler Angles (Z Y'X"") Z","Sensor #6 Euler Angles (Z Y'X"") Y'","Sensor #6 Euler Angles (Z Y'X"") X"""
count,420352.0,420352.0,420352.0,420352.0,420352.0,420352.0,420352.0,420352.0,420352.0,420352.0,420352.0,420352.0,420352.0,420352.0,420352.0,420352.0,420352.0,420352.0,420352.0,420352.0,420352.0,420352.0,420352.0,420352.0,420352.0,420352.0,420352.0,420352.0,420352.0,420352.0,420352.0,420352.0,420352.0,420352.0,420352.0,420352.0
mean,7.855138074756395e-06,9.110983176004874e-06,-9.256684873629716e-06,-0.008977947175224571,-0.00045511249619366637,0.01097751526577725,8.287028490408041e-06,9.170440487971987e-06,-9.738190849573687e-06,-0.02210973798625913,-0.0009616099102656819,-0.023765761066915345,1.1119633069427531e-05,9.33911578867235e-06,-1.0447984070493299e-05,0.004039781471243147,0.0007926714015872412,0.009371874024626978,8.111425662302072e-06,1.0580275578562705e-06,-8.098895687423875e-06,0.007363463623344244,-0.002135898432742083,0.03160037741940089,9.460718635809986e-06,-2.6290347137636966e-07,-9.283728874847746e-06,0.007390496053307698,-0.0018370235564479287,0.003470798371364952,1.064288976857491e-05,-1.2745246840743e-06,-1.1099114551613885e-05,0.015017338599554654,0.0001545220981463156,0.006806996983480518
std,0.003815555810407788,0.005289065216299643,0.004898195840927872,9.820962273050949,1.7333705657364873,18.72528016870527,0.0030425380220849437,0.0034587095507343023,0.0032335874541580567,12.848996165939747,1.1657727639350415,17.65791466527392,0.003016719524922519,0.0026936610362310468,0.002501398187116843,5.474835868621475,0.57522882127296,10.063295775459046,0.0031041626010942115,0.006339335740417957,0.004318353029260831,15.180720219364474,1.6382714614805312,11.584041812679754,0.0031146876038392907,0.0055383770285713655,0.0038646926324696095,13.469519644678819,1.4752755563045306,7.2448896218242504,0.0030072771535251766,0.004529697181556198,0.0031917153669814174,10.839235902271657,0.5459583637144404,19.54188551603602
min,-0.3184350000000001,-0.38303800000000005,-0.5051669999999999,-179.98028499999998,-71.710219,-179.998462,-0.30684999999999996,-0.178167,-0.296103,-179.970649,-46.299248,-179.99860999999999,-0.2376450000000001,-0.12336299999999994,-0.316306,-179.38679699999997,-45.653197,-179.986844,-0.307839,-0.5898249999999999,-0.479645,-179.978917,-84.81090999999999,-179.88114900000002,-0.293613,-0.569245,-0.48299200000000003,-179.987115,-46.686626000000004,-179.98891500000002,-0.26569200000000015,-0.5755589999999999,-0.419221,-179.99732899999998,-43.003146,-179.999223
25%,-0.0005589999999999762,-0.0007050000000000112,-0.0006980000000000042,-0.3520745000000023,-0.26654025000000114,-0.3951394999999991,-0.0003829999999999667,-0.0005109999999999837,-0.0005070000000000074,-0.25754199999998306,-0.18563175000000054,-0.27338749999999123,-0.0003390000000000337,-0.00042599999999998195,-0.00036399999999997545,-0.10592275000001905,-0.09139199999999958,-0.145154749999989,-0.0004329999999999612,-0.0005090000000000025,-0.00045000000000000595,-0.5146754999999956,-0.29369500000000315,-0.522423749999998,-0.0005220000000000224,-0.0005649999999999961,-0.0005349999999999799,-0.42445525000000117,-0.3163312500000037,-0.599901,-0.00046399999999996444,-0.0004979999999999999,-0.0004069999999999907,-0.1370517499999906,-0.10772199999999765,-0.26120249999999956
50%,-9.999999999732445e-07,8.000000000008e-06,0.0,0.004927999999992494,0.00020149999999974355,-0.00472500000000764,0.0,2.000000000002e-06,1.000000000001e-06,-0.0018479999999954089,-0.0012310000000024246,-0.0008264999999880729,-2.9999999999752447e-06,3.000000000009939e-06,1.0999999999983245e-05,-0.0004900000000134241,-7.999999999874774e-05,-0.0011659999999906745,1.0000000000287557e-06,1.1999999999998123e-05,3.099999999997549e-05,-0.009957500000012942,-0.004957499999999726,0.008934999999999249,-5.000000000032756e-06,1.4000000000000123e-05,2.9000000000001247e-05,-0.00879599999998959,-0.007352499999998763,-0.009861499999998635,-1.6000000000071513e-05,1.1999999999998123e-05,1.7000000000017e-05,-0.005731999999994741,-0.003807000000000116,-0.003714500000000953
75%,0.0006009999999999627,0.0007390000000000035,0.0006009999999999904,0.37768425000000505,0.2630219999999994,0.3851002500000025,0.00042799999999998395,0.0005080000000000084,0.00043299999999998895,0.2298184999999826,0.18343475000000165,0.30087324999999865,0.00037999999999999146,0.0004220000000000057,0.00035999999999997145,0.10559349999997636,0.09155425000000028,0.15600725000000537,0.00047999999999998044,0.0005580000000000116,0.0005889999999999784,0.429459750000003,0.29275675000000234,0.5898837499999976,0.0005320000000000324,0.0006169999999999995,0.0006350000000000244,0.39450550000000817,0.2765690000000012,0.5206247500000014,0.00042199999999997795,0.0005180000000000046,0.0004490000000000327,0.11941800000000313,0.09577900000000028,0.256469999999986
max,0.366006,0.489084,0.655197,179.995284,49.462842,179.954945,0.392906,0.373707,0.283302,179.992314,28.952149000000002,179.977508,0.45530200000000004,0.38911100000000004,0.26699199999999995,179.852756,15.317609999999995,179.95794400000003,0.411659,0.633708,0.463774,179.938081,44.429143,179.98057999999997,0.484547,0.71934,0.501422,179.984192,30.371959000000004,179.925637,0.545716,0.7030939999999999,0.531037,179.960731,17.861427,179.996154
