,Sensor #1 X,Sensor #1 Y,Sensor #1 Z,"Sensor #1 Euler Angles (Z Y'X"") Z","Sensor #1 Euler Angles (Z Y'X"") Y'","Sensor #1 Euler Angles (Z Y'X"") X""",Sensor #2 X,Sensor #2 Y,Sensor #2 Z,"Sensor #2 Euler Angles (Z Y'X"") Z","Sensor #2 Euler Angles (Z Y'X"") Y'","Sensor #2 Euler Angles (Z Y'X"") X""",Sensor #3 X,Sensor #3 Y,Sensor #3 Z,"Sensor #3 Euler Angles (Z Y'X"") Z","Sensor #3 Euler Angles (Z Y'X"") Y'","Sensor #3 Euler Angles (Z Y'X"") X""",Sensor #4 X,Sensor #4 Y,Sensor #4 Z,"Sensor #4 Euler Angles (Z Y'X"") Z","Sensor #4 Euler Angles (Z Y'X"") Y'","Sensor #4 Euler Angles (Z Y'X"") X""",Sensor #5 X,Sensor #5 Y,Sensor #5 Z,"Sensor #5 Euler Angles (Z Y'X"") Z","Sensor #5 Euler Angles (Z Y'X"") Y'","Sensor #5 Euler Angles (Z Y'X"") X""",Sensor #6 X,Sensor #6 Y,Sensor #6 Z,"Sensor #6 Euler Angles (Z Y'X"") Z","Sensor #6 Euler Angles (Z Y'X"") Y'","Sensor #6 Euler Angles (Z Y'X"") X"""
count,424946.0,424946.0,424946.0,424946.0,424946.0,424946.0,424946.0,424946.0,424946.0,424946.0,424946.0,424946.0,424946.0,424946.0,424946.0,424946.0,424946.0,424946.0,424946.0,424946.0,424946.0,424946.0,424946.0,424946.0,424946.0,424946.0,424946.0,424946.0,424946.0,424946.0,424946.0,424946.0,424946.0,424946.0,424946.0,424946.0
mean,9.802363123785137e-06,8.30798736780673e-06,-1.0885528984859254e-05,-0.018193767090406775,-0.0006723934476380524,-0.0030854924084471854,1.0524287791860616e-05,8.935062337332274e-06,-1.1042315964852007e-05,-0.040863289709751366,-0.0011676763424058594,-0.007528987626663153,1.3271488612670788e-05,9.93644368931582e-06,-1.2215683875127667e-05,-0.004603866392435746,0.0008949413384288827,0.015069152668809685,1.2342695307168442e-05,4.047690765414904e-07,-1.0867272547570753e-05,0.031341393741793074,-0.002475658930781794,-0.020013588888941187,1.4341539866241832e-05,-5.428572100925775e-07,-1.1608663218385395e-05,0.015021564568203956,-0.0023494744085130817,0.006826318256907935,1.5805398803612694e-05,-2.074211782202915e-06,-1.340743765090153e-05,0.00571740594099015,0.00012749316148404752,-0.0017886685296484687
std,0.0037604568454239476,0.005120497184332388,0.00457777957832525,10.055384712321082,1.8113352709781705,18.840876281186898,0.0031182273377867364,0.0034474541539623884,0.0032278055017105406,14.246903560515086,1.2345935264947483,17.705706608873765,0.00309718652800983,0.002593177888945521,0.0024588222345574154,5.6826803751062664,0.6255666578271863,13.055892167178357,0.0031744234990790004,0.006205206534762621,0.004099488844928687,15.721375232060941,1.6707185905705217,11.24419881424132,0.003227102571099115,0.005297152407434277,0.0036145481442848293,14.092436937277508,1.5926901155443833,8.39178571234691,0.0031930349440238187,0.004233436423403127,0.002987491264959884,10.848774908003762,0.5526881512894181,18.701234084898154
min,-0.3184350000000001,-0.282804,-0.367277,-179.98028499999998,-87.395184,-179.98721999999998,-0.30684999999999996,-0.178167,-0.296103,-179.984048,-42.757529999999996,-179.99860999999999,-0.2376450000000001,-0.11520200000000003,-0.316306,-179.98976399999998,-45.653197,-179.986844,-0.307839,-0.5898249999999999,-0.47343599999999997,-179.95325800000003,-85.209165,-179.88114900000002,-0.293613,-0.569245,-0.48299200000000003,-179.953563,-66.511444,-179.948596,-0.26569200000000015,-0.5755589999999999,-0.419221,-179.99732899999998,-43.003146,-179.999223
25%,-0.0005120000000000124,-0.0006500000000000117,-0.0006460000000000077,-0.34217575000000267,-0.2648629999999983,-0.39100299999999244,-0.0003749999999999587,-0.0005089999999999817,-0.0005050000000000054,-0.28132224999998456,-0.19164974999999917,-0.2818684999999981,-0.0003229999999999622,-0.0004159999999999997,-0.0003549999999999942,-0.10903674999997648,-0.09525799999999986,-0.14580349999999953,-0.0004469999999999752,-0.0005170000000000001,-0.0004609999999999892,-0.5375510000000006,-0.30057950000000133,-0.5667532499999979,-0.0005439999999999889,-0.0005890000000000062,-0.000546999999999985,-0.44620124999999966,-0.33821574999999626,-0.623396249999999,-0.0004690000000000527,-0.0005069999999999936,-0.00040700000000001846,-0.14231549999998805,-0.11084174999999963,-0.25973174999998605
50%,0.0,7.000000000007001e-06,0.0,0.0030020000000021696,-4.69999999967996e-05,-0.0020260000000007494,0.0,2.000000000002e-06,1.000000000001e-06,-0.002602499999980523,-0.00018350000000033617,-0.0009854999999987513,0.0,3.999999999976245e-06,9.999999999982245e-06,-0.0008049999999997226,0.0003795000000010873,-0.0018825000000148862,0.0,1.2000000000012001e-05,2.9000000000001247e-05,-0.006485999999995329,-0.00528449999999836,0.005354500000001039,-6.0000000000060005e-06,1.299999999999999e-05,2.999999999997449e-05,-0.007721000000010747,-0.007522000000000695,-0.009608999999999313,-1.6000000000016e-05,1.2999999999992184e-05,1.9999999999992246e-05,-0.004611999999994509,-0.00302500000000272,-0.004265000000003738
75%,0.0005527499999999907,0.000696000000000016,0.0005450000000000177,0.3615182499999925,0.2541017499999978,0.39002875000000614,0.00042599999999998195,0.0005189999999999917,0.00042999999999998595,0.2330869999999905,0.19046874999999996,0.32072274999999983,0.00037800000000004497,0.0004259999999999542,0.00035000000000001696,0.10503575000000609,0.09640800000000027,0.15714899999999687,0.0004850000000000132,0.0005620000000000069,0.0005930000000000102,0.4643247499999905,0.29814724999999953,0.6091599999999988,0.0005440000000000444,0.0006360000000000116,0.0006489999999999829,0.41354100000000216,0.2914772499999998,0.5420182500000053,0.0004230000000000067,0.0005209999999999937,0.0004619999999999902,0.12622600000000261,0.09969999999999857,0.2498585000000073
max,0.366006,0.36332,0.367955,179.995284,39.693121,179.954945,0.392906,0.323924,0.283302,179.988884,31.13552,179.97620900000004,0.45530200000000004,0.362545,0.26699199999999995,179.852756,13.476526999999999,179.95794400000003,0.411659,0.633708,0.463774,179.999777,44.429143,179.98057999999997,0.484547,0.71934,0.501422,179.984192,47.391481000000006,179.92042,0.545716,0.7030939999999999,0.531037,179.960731,17.861427,179.992748
